unique_id,seed,focal,code,site,treatment
PE_CL_8_82_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_83_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_86_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_88_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_90_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_92_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_93_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_94_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_96_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_97_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_99_TRCY,18,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_100_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_102_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_104_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_105_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_107_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_111_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_112_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_113_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_115_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_118_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_122_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_125_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_129_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_130_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_132_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_134_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_137_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_138_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_142_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_148_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_151_TRCY,20,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_152_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_155_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_1_PEAI,68,Pentameris airoides,PEAI,PE,CL
PE_CL_8_2_PEAI,52,Pentameris airoides,PEAI,PE,CL
PE_CL_8_3_PEAI,38,Pentameris airoides,PEAI,PE,CL
PE_CL_8_4_PEAI,2,Pentameris airoides,PEAI,PE,CL
PE_CL_8_5_PEAI,16,Pentameris airoides,PEAI,PE,CL
PE_CL_8_6_PEAI,52,Pentameris airoides,PEAI,PE,CL
PE_CL_8_e1_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_e4_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_e2_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_e3_PEAI,14,Pentameris airoides,PEAI,PE,CL
PE_CL_8_e2_PEAI,10,Pentameris airoides,PEAI,PE,CL
PE_CL_8_e1_PEAI,4,Pentameris airoides,PEAI,PE,CL
PE_CL_8_a65_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_a75_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_1_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_9_2_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_9_5_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_9_6_GORO,9,Goodenia rosea,GORO,PE,CL
PE_CL_9_9_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_9_10_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_9_11_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_9_12_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_9_13_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_9_15_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_9_16_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_9_17_GORO,5,Goodenia rosea,GORO,PE,CL
PE_CL_9_18_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_9_20_GORO,9,Goodenia rosea,GORO,PE,CL
PE_CL_9_21_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_9_22_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_9_23_GORO,6,Goodenia rosea,GORO,PE,CL
PE_CL_9_26_GORO,7,Goodenia rosea,GORO,PE,CL
PE_CL_9_4_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_7_TRCY,20,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_8_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_9_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_10_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_11_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_12_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_13_TRCY,14,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_14_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_16_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_17_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_18_TRCY,18,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_19_TRCY,20,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_21_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_22_TRCY,26,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_e1_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_e2_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_e3_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_9_e1_GORO,10,Goodenia rosea,GORO,PE,CL
PE_OP_10_2_ARCA,9,Arctotheca calendula,ARCA,PE,OP
PE_OP_10_3_ARCA,7,Arctotheca calendula,ARCA,PE,OP
PE_OP_10_5_ARCA,4,Arctotheca calendula,ARCA,PE,OP
PE_OP_10_6_ARCA,8,Arctotheca calendula,ARCA,PE,OP
PE_OP_10_2_HYGL,18,Hyalosperma glutinosum,HYGL,PE,OP
